,강원도,강원특별자치도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전국,전라남도,전라북도,전북특별자치도,제주특별자치도,충청남도,충청북도
2012년_총인구수,1538630.0,,12093299,3319314,2698353,1469216,2505644,1524583,3538484,10195318,113117,1147256,2843981,50948272,1909618,1873341.0,,583713,2028777,1565628
2013년_총인구수,1542263.0,,12234630,3333820,2699440,1472910,2501588,1532811,3527635,10143645,122153,1156480,2879782,51141463,1907172,1872965.0,,593806,2047631,1572732
2014년_총인구수,1544442.0,,12357830,3350257,2700794,1475884,2493264,1531809,3519401,10103233,156125,1166377,2902608,51327916,1905780,1871560.0,,607346,2062273,1578933
2015년_총인구수,1549507.0,,12522606,3364702,2702826,1472199,2487829,1518775,3513777,10022181,210884,1173534,2925815,51529338,1908996,1869711.0,,624395,2077649,1583952
2016년_총인구수,1550806.0,,12716780,3373871,2700398,1469214,2484557,1514370,3498529,9930616,243048,1172304,2943069,51696216,1903914,1864791.0,,641597,2096727,1591625
2017년_총인구수,1550142.0,,12873895,3380404,2691706,1463770,2475231,1502227,3470653,9857426,280100,1165132,2948542,51778544,1896424,1854607.0,,657083,2116770,1594432
2018년_총인구수,1543052.0,,13077153,3373988,2676831,1459336,2461769,1489936,3441453,9765623,314126,1155623,2954642,51826059,1882970,1836832.0,,667191,2126282,1599252
2019년_총인구수,1541502.0,,13239666,3362553,2665836,1456468,2438031,1474870,3413841,9729107,340575,1148019,2957026,51849861,1868745,1818917.0,,670989,2123709,1600007
2020년_총인구수,1542840.0,,13427014,3340216,2639422,1450062,2418346,1463882,3391946,9668465,355831,1136017,2942828,51829023,1851549,1804104.0,,674635,2121029,1600837
2021년_총인구수,1538492.0,,13565450,3314183,2626609,1441611,2385412,1452251,3350380,9509458,371895,1121592,2948375,51638809,1832803,1786855.0,,676759,2119257,1597427
2022년_총인구수,1536498.0,0.0,13589432,3280493,2600492,1431050,2363691,1446072,3317812,9428372,383591,1110663,2967314,51439038,1817697,1769607.0,0.0,678159,2123037,1595058
2023년_총인구수,,1527807.0,13630821,3251158,2554324,1419237,2374960,1442216,3293362,9386034,386525,1103661,2997410,51325329,1804217,1754757.0,,675252,2130119,1593469
2024년_총인구수,,1517766.0,13694685,3228380,2531384,1408422,2363629,1439157,3266598,9331828,390685,1098049,3021010,51217221,1788819,,1738690.0,670368,2136574,1591177
