"행정구역","2008년_총인구수","2008년_세대수","2008년_세대당 인구","2008년_남자 인구수","2008년_여자 인구수","2008년_남여 비율","2009년_총인구수","2009년_세대수","2009년_세대당 인구","2009년_남자 인구수","2009년_여자 인구수","2009년_남여 비율","2010년_총인구수","2010년_세대수","2010년_세대당 인구","2010년_남자 인구수","2010년_여자 인구수","2010년_남여 비율","2011년_총인구수","2011년_세대수","2011년_세대당 인구","2011년_남자 인구수","2011년_여자 인구수","2011년_남여 비율"
"전국  (1000000000)","49,540,367","19,005,339","          2.61","24,822,897","24,717,470","          1.00","49,773,145","19,261,292","          2.58","24,929,939","24,843,206","          1.00","50,515,666","19,865,179","          2.54","25,310,385","25,205,281","          1.00","50,734,284","20,033,142","          2.53","25,406,934","25,327,350","          1.00"
"서울특별시  (1100000000)","10,200,827","4,097,562","          2.49","5,061,809","5,139,018","          0.98","10,208,302","4,116,660","          2.48","5,059,269","5,149,033","          0.98","10,312,545","4,224,181","          2.44","5,111,259","5,201,286","          0.98","10,249,679","4,192,752","          2.44","5,073,899","5,175,780","          0.98"
"부산광역시  (2600000000)","3,564,577","1,311,724","          2.72","1,773,154","1,791,423","          0.99","3,543,030","1,323,771","          2.68","1,761,202","1,781,828","          0.99","3,567,910","1,371,346","          2.60","1,773,170","1,794,740","          0.99","3,550,963","1,381,257","          2.57","1,762,848","1,788,115","          0.99"
"대구광역시  (2700000000)","2,492,724","894,969","          2.79","1,246,873","1,245,851","          1.00","2,489,781","906,470","          2.75","1,243,878","1,245,903","          1.00","2,511,676","934,598","          2.69","1,255,245","1,256,431","          1.00","2,507,271","940,770","          2.67","1,251,577","1,255,694","          1.00"
"인천광역시  (2800000000)","2,692,696","1,014,755","          2.65","1,356,473","1,336,223","          1.02","2,710,579","1,026,936","          2.64","1,364,809","1,345,770","          1.01","2,758,296","1,059,664","          2.60","1,390,356","1,367,940","          1.02","2,801,274","1,077,563","          2.60","1,410,980","1,390,294","          1.01"
"광주광역시  (2900000000)","1,422,702","513,021","          2.77","705,817","716,885","          0.98","1,433,640","524,093","          2.74","711,091","722,549","          0.98","1,454,636","540,875","          2.69","721,780","732,856","          0.98","1,463,464","549,105","          2.67","725,606","737,858","          0.98"
"대전광역시  (3000000000)","1,480,895","531,682","          2.79","741,611","739,284","          1.00","1,484,180","538,100","          2.76","743,121","741,059","          1.00","1,503,664","555,768","          2.71","753,648","750,016","          1.00","1,515,603","566,324","          2.68","759,188","756,415","          1.00"
"울산광역시  (3100000000)","1,112,407","389,735","          2.85","572,815","539,592","          1.06","1,114,866","394,364","          2.83","573,607","541,259","          1.06","1,126,298","405,501","          2.78","579,071","547,227","          1.06","1,135,494","412,561","          2.75","583,825","551,669","          1.06"
"경기도  (4100000000)","11,292,264","4,284,475","          2.64","5,690,673","5,601,591","          1.02","11,460,610","4,359,467","          2.63","5,773,569","5,687,041","          1.02","11,786,622","4,527,282","          2.60","5,942,454","5,844,168","          1.02","11,937,415","4,579,405","          2.61","6,015,357","5,922,058","          1.02"
"강원도  (4200000000)","1,508,575","606,950","          2.49","759,282","749,293","          1.01","1,512,870","617,693","          2.45","761,270","751,600","          1.01","1,529,818","639,001","          2.39","769,807","760,011","          1.01","1,536,448","648,649","          2.37","773,278","763,170","          1.01"
"충청북도  (4300000000)","1,519,587","587,411","          2.59","765,398","754,189","          1.01","1,527,478","599,204","          2.55","769,968","757,510","          1.02","1,549,528","617,431","          2.51","781,301","768,227","          1.02","1,562,903","627,006","          2.49","787,981","774,922","          1.02"
"충청남도  (4400000000)","2,018,537","812,871","          2.48","1,020,317","998,220","          1.02","2,037,582","827,846","          2.46","1,029,725","1,007,857","          1.02","2,075,514","854,432","          2.43","1,049,363","1,026,151","          1.02","2,101,284","868,768","          2.42","1,063,012","1,038,272","          1.02"
"전라북도  (4500000000)","1,855,772","710,550","          2.61","924,770","931,002","          0.99","1,854,508","720,993","          2.57","924,480","930,028","          0.99","1,868,963","740,650","          2.52","931,481","937,482","          0.99","1,874,031","754,479","          2.48","934,002","940,029","          0.99"
"전라남도  (4600000000)","1,919,000","773,087","          2.48","958,491","960,509","          1.00","1,913,004","783,156","          2.44","955,954","957,050","          1.00","1,918,485","799,520","          2.40","958,624","959,861","          1.00","1,914,339","805,051","          2.38","956,747","957,592","          1.00"
"경상북도  (4700000000)","2,673,931","1,058,099","          2.53","1,343,199","1,330,732","          1.01","2,669,876","1,073,367","          2.49","1,340,977","1,328,899","          1.01","2,689,920","1,101,486","          2.44","1,351,202","1,338,718","          1.01","2,699,195","1,114,901","          2.42","1,355,727","1,343,468","          1.01"
"경상남도  (4800000000)","3,225,255","1,203,767","          2.68","1,622,127","1,603,128","          1.01","3,250,176","1,231,461","          2.64","1,635,700","1,614,476","          1.01","3,290,536","1,268,731","          2.59","1,656,042","1,634,494","          1.01","3,308,765","1,286,678","          2.57","1,664,755","1,644,010","          1.01"
"제주특별자치도  (5000000000)","560,618","214,681","          2.61","280,088","280,530","          1.00","562,663","217,711","          2.58","281,319","281,344","          1.00","571,255","224,713","          2.54","285,582","285,673","          1.00","576,156","227,873","          2.53","288,152","288,004","          1.00"
