연도,대덕구,동구,서구,유성구,중구
2008년_총인구수,211241,245973,499172,259831,264678
2009년_총인구수,208147,246116,499297,266585,264035
2010년_총인구수,207549,248835,499742,281692,265846
2011년_총인구수,205339,251285,499124,294353,265502
2012년_총인구수,205688,251945,496513,306312,264125
2013년_총인구수,204360,250653,498917,313968,264913
2014년_총인구수,201558,245493,496132,327461,261165
2015년_총인구수,196839,239579,490859,335312,256186
2016년_총인구수,192688,234959,491011,343222,252490
2017년_총인구수,186902,230516,487448,348428,248933
2018년_총인구수,181991,229071,484663,349790,244421
2019년_총인구수,177031,226771,481222,349373,240473
2020년_총인구수,176384,223021,477880,351047,235550
2021년_총인구수,175046,222222,473365,351277,230341
2022년_총인구수,172746,219751,470374,356093,227108
2023년_총인구수,169853,217628,464634,366845,223256
2024년_총인구수,168217,218513,457951,369468,225008
