"행정구역","2008년_총인구수","2008년_세대수","2008년_세대당 인구","2008년_남자 인구수","2008년_여자 인구수","2008년_남여 비율","2009년_총인구수","2009년_세대수","2009년_세대당 인구","2009년_남자 인구수","2009년_여자 인구수","2009년_남여 비율","2010년_총인구수","2010년_세대수","2010년_세대당 인구","2010년_남자 인구수","2010년_여자 인구수","2010년_남여 비율","2011년_총인구수","2011년_세대수","2011년_세대당 인구","2011년_남자 인구수","2011년_여자 인구수","2011년_남여 비율","2012년_총인구수","2012년_세대수","2012년_세대당 인구","2012년_남자 인구수","2012년_여자 인구수","2012년_남여 비율","2013년_총인구수","2013년_세대수","2013년_세대당 인구","2013년_남자 인구수","2013년_여자 인구수","2013년_남여 비율","2014년_총인구수","2014년_세대수","2014년_세대당 인구","2014년_남자 인구수","2014년_여자 인구수","2014년_남여 비율"
"전국  (1000000000)","49,540,367","19,005,339","          2.61","24,822,897","24,717,470","          1.00","49,773,145","19,261,292","          2.58","24,929,939","24,843,206","          1.00","50,515,666","19,865,179","          2.54","25,310,385","25,205,281","          1.00","50,734,284","20,033,142","          2.53","25,406,934","25,327,350","          1.00","50,948,272","20,211,770","          2.52","25,504,060","25,444,212","          1.00","51,141,463","20,456,588","          2.50","25,588,336","25,553,127","          1.00","51,327,916","20,724,094","          2.48","25,669,296","25,658,620","          1.00"
"서울특별시  (1100000000)","10,200,827","4,097,562","          2.49","5,061,809","5,139,018","          0.98","10,208,302","4,116,660","          2.48","5,059,269","5,149,033","          0.98","10,312,545","4,224,181","          2.44","5,111,259","5,201,286","          0.98","10,249,679","4,192,752","          2.44","5,073,899","5,175,780","          0.98","10,195,318","4,177,970","          2.44","5,041,336","5,153,982","          0.98","10,143,645","4,182,351","          2.43","5,007,869","5,135,776","          0.98","10,103,233","4,194,176","          2.41","4,979,768","5,123,465","          0.97"
"부산광역시  (2600000000)","3,564,577","1,311,724","          2.72","1,773,154","1,791,423","          0.99","3,543,030","1,323,771","          2.68","1,761,202","1,781,828","          0.99","3,567,910","1,371,346","          2.60","1,773,170","1,794,740","          0.99","3,550,963","1,381,257","          2.57","1,762,848","1,788,115","          0.99","3,538,484","1,389,526","          2.55","1,754,479","1,784,005","          0.98","3,527,635","1,404,663","          2.51","1,747,000","1,780,635","          0.98","3,519,401","1,421,648","          2.48","1,740,417","1,778,984","          0.98"
"대구광역시  (2700000000)","2,492,724","894,969","          2.79","1,246,873","1,245,851","          1.00","2,489,781","906,470","          2.75","1,243,878","1,245,903","          1.00","2,511,676","934,598","          2.69","1,255,245","1,256,431","          1.00","2,507,271","940,770","          2.67","1,251,577","1,255,694","          1.00","2,505,644","948,652","          2.64","1,249,320","1,256,324","          0.99","2,501,588","960,265","          2.61","1,246,071","1,255,517","          0.99","2,493,264","970,618","          2.57","1,241,119","1,252,145","          0.99"
"인천광역시  (2800000000)","2,692,696","1,014,755","          2.65","1,356,473","1,336,223","          1.02","2,710,579","1,026,936","          2.64","1,364,809","1,345,770","          1.01","2,758,296","1,059,664","          2.60","1,390,356","1,367,940","          1.02","2,801,274","1,077,563","          2.60","1,410,980","1,390,294","          1.01","2,843,981","1,097,491","          2.59","1,431,593","1,412,388","          1.01","2,879,782","1,118,988","          2.57","1,448,835","1,430,947","          1.01","2,902,608","1,136,280","          2.55","1,459,074","1,443,534","          1.01"
"광주광역시  (2900000000)","1,422,702","513,021","          2.77","705,817","716,885","          0.98","1,433,640","524,093","          2.74","711,091","722,549","          0.98","1,454,636","540,875","          2.69","721,780","732,856","          0.98","1,463,464","549,105","          2.67","725,606","737,858","          0.98","1,469,216","555,538","          2.64","728,406","740,810","          0.98","1,472,910","563,599","          2.61","730,216","742,694","          0.98","1,475,884","573,043","          2.58","731,339","744,545","          0.98"
"대전광역시  (3000000000)","1,480,895","531,682","          2.79","741,611","739,284","          1.00","1,484,180","538,100","          2.76","743,121","741,059","          1.00","1,503,664","555,768","          2.71","753,648","750,016","          1.00","1,515,603","566,324","          2.68","759,188","756,415","          1.00","1,524,583","575,600","          2.65","763,671","760,912","          1.00","1,532,811","584,877","          2.62","767,309","765,502","          1.00","1,531,809","592,508","          2.59","766,497","765,312","          1.00"
"울산광역시  (3100000000)","1,112,407","389,735","          2.85","572,815","539,592","          1.06","1,114,866","394,364","          2.83","573,607","541,259","          1.06","1,126,298","405,501","          2.78","579,071","547,227","          1.06","1,135,494","412,561","          2.75","583,825","551,669","          1.06","1,147,256","422,177","          2.72","590,424","556,832","          1.06","1,156,480","431,595","          2.68","595,319","561,161","          1.06","1,166,377","442,250","          2.64","600,904","565,473","          1.06"
"세종특별자치시  (3600000000)","0","0","          0.00","0","0","          0.00","","","","","","","","","","","","","","","","","","","113,117","46,592","          2.43","57,633","55,484","          1.04","122,153","50,045","          2.44","62,205","59,948","          1.04","156,125","62,807","          2.49","78,862","77,263","          1.02"
"경기도  (4100000000)","11,292,264","4,284,475","          2.64","5,690,673","5,601,591","          1.02","11,460,610","4,359,467","          2.63","5,773,569","5,687,041","          1.02","11,786,622","4,527,282","          2.60","5,942,454","5,844,168","          1.02","11,937,415","4,579,405","          2.61","6,015,357","5,922,058","          1.02","12,093,299","4,639,665","          2.61","6,091,035","6,002,264","          1.01","12,234,630","4,712,324","          2.60","6,159,193","6,075,437","          1.01","12,357,830","4,786,718","          2.58","6,219,813","6,138,017","          1.01"
"강원도  (4200000000)","1,508,575","606,950","          2.49","759,282","749,293","          1.01","1,512,870","617,693","          2.45","761,270","751,600","          1.01","1,529,818","639,001","          2.39","769,807","760,011","          1.01","1,536,448","648,649","          2.37","773,278","763,170","          1.01","1,538,630","655,301","          2.35","774,273","764,357","          1.01","1,542,263","664,913","          2.32","776,498","765,765","          1.01","1,544,442","673,978","          2.29","778,007","766,435","          1.02"
