일자,종가,대비,등락률,상장주식수,외국인 보유수량,외국인 지분율,외국인 한도수량,외국인 한도소진율
"2025/10/29","2815","-20","-0.71","32171314","724802","2.25","32171314","2.25"
"2025/10/28","2835","-30","-1.05","32171314","737797","2.29","32171314","2.29"
"2025/10/27","2865","65","2.32","32171314","612388","1.90","32171314","1.90"
"2025/10/24","2800","-50","-1.75","32171314","661698","2.06","32171314","2.06"
"2025/10/23","2850","30","1.06","32171314","849704","2.64","32171314","2.64"
"2025/10/22","2820","60","2.17","32171314","851809","2.65","32171314","2.65"
"2025/10/21","2760","10","0.36","32171314","861736","2.68","32171314","2.68"
"2025/10/20","2750","-10","-0.36","32171314","818184","2.54","32171314","2.54"
"2025/10/17","2760","-50","-1.78","32171314","818373","2.54","32171314","2.54"
"2025/10/16","2810","-15","-0.53","32171314","868573","2.70","32171314","2.70"
"2025/10/15","2825","55","1.99","32171314","850640","2.64","32171314","2.64"
"2025/10/14","2770","-25","-0.89","32171314","771513","2.40","32171314","2.40"
"2025/10/13","2795","30","1.08","32171314","713099","2.22","32171314","2.22"
"2025/10/10","2765","145","5.53","32171314","623337","1.94","32171314","1.94"
"2025/10/02","2620","5","0.19","32171314","566486","1.76","32171314","1.76"
"2025/10/01","2615","10","0.38","32171314","521980","1.62","32171314","1.62"
"2025/09/30","2605","-30","-1.14","32171314","507093","1.58","32171314","1.58"
"2025/09/29","2635","-20","-0.75","32171314","511223","1.59","32171314","1.59"
